"Source:","/home/bl5599/_hzdrCloud/Projekte/2022_11_09__Meloklingel/Melodieklingel_FA86__pcb_kicad/Melodieklingel_FA86.kicad_sch"
"Date:","Di 15 Nov 2022 08:59:24 CET"
"Tool:","Eeschema (6.0.9)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","46"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","470nF","C_Small","Capacitor_THT:C_Axial_L12.0mm_D9.5mm_P15.00mm_Horizontal","Unpolarized capacitor, small symbol",""
"C2, ","1","47µF","C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor, small symbol",""
"C3, ","1","10nF","C_Small","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_FKS3_FKP3","Unpolarized capacitor, small symbol",""
"C4, ","1","100µF","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","Polarized capacitor, small symbol",""
"C5, C11, ","2","33nF","C_Small","Capacitor_THT:C_Rect_L13.0mm_W3.0mm_P10.00mm_FKS3_FKP3_MKS4","Unpolarized capacitor, small symbol",""
"C6, ","1","10µF","C_Polarized_Small","Capacitor_THT:CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal","Polarized capacitor, small symbol",""
"C10, ","1","33nF","C_Small","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor, small symbol",""
"D1, ","1","D104D","D104D","Package_DIP:DIP-14_W7.62mm_Socket","6 Inverter",""
"D2, ","1","U880D","U880D","Package_DIP:DIP-40_W15.24mm_Socket","CPU, Zentrale Verarbeitungseinheit",""
"D3, ","1","U2716","U2716","Package_DIP:DIP-24_W15.24mm_Socket","2K × 8 bit UV-löschbarer Festwertspeicher (EPROM)",""
"D4, ","1","D174D","D174D","Package_DIP:DIP-14_W7.62mm_Socket","2 positiv flanken-getriggerte D-Flip-Flop",""
"D100, ","1","MB104","MB104","Package_DIP:DIP-6_W7.62mm","Optoelektronischer Koppler aus IR-Diode und npn-Si-Fototransistor",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.7mm_Pad_Via","Mounting Hole with connection",""
"LS1, ","1","Lautsprecher","Speaker","","Speaker",""
"R1, ","1","100","R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Potentiometer",""
"R2, ","1","180","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","Resistor, small symbol",""
"R3, ","1","330","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R4, ","1","1,2k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","Resistor, small symbol",""
"R5, ","1","4,7k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","Resistor, small symbol",""
"R6, ","1","10k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","Resistor, small symbol",""
"R7, ","1","1k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R8, ","1","1k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","Resistor, small symbol",""
"R9, ","1","10k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R10, ","1","470","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","Resistor, small symbol",""
"R11, ","1","10","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R12, ","1","1,2k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R100, ","1","4,7k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"R101, ","1","1M","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"SW1, ","1","Taster","SW_Push","","Push button switch, generic, two pins",""
"TP0, ","1","GND","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP1, ","1","Eingang","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP2, TP102, ","2","Ausgang","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP3, ","1","Taster","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP4, ","1","Lautsprecher","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP5, ","1","+5V","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP100, ","1","Eingang +","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"TP101, ","1","Eingang -","TestPoint_Alt","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","test point (alternative shape)",""
"VD1, VD100, ","2","SAY17","D_Small","Diode_THT:D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp","Diode, small symbol",""
"VT1, ","1","SS218","SF126","Package_TO_SOT_THT:TO-220-3_Vertical","Silizium-NPN-Transistor für Breitbandverstärker und mittelschnelle Schalter",""
"VT2, ","1","SF126","SF126","Package_TO_SOT_THT:TO-39-3","Silizium-NPN-Transistor für Breitbandverstärker und mittelschnelle Schalter",""
